"Path","LineNumber","Line"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_real_data_runtime_audit.js","4","const OUT = ""public/data/intelligence/audit/real_data_runtime_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_real_data_runtime_audit.js","18","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_real_data_runtime_audit.js","22","  note: ""PASS confirms real-data ingestion framework exists. It does not mean external live connectors are pulling yet."""
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_refresh_scheduler_registry.js","13","    failed_refresh_tracking_enabled: true"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_schema_integrity_audit.js","4","const OUT = ""public/data/intelligence/audit/schema_integrity_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_schema_integrity_audit.js","18","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_source_coverage_audit.js","4","const OUT = ""public/data/intelligence/audit/source_coverage_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_source_coverage_audit.js","18","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_validation_integrity_audit.js","4","const OUT = ""public/data/intelligence/audit/validation_integrity_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_validation_integrity_audit.js","18","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\run_intelligence_master_runner.js","20","    results.push({ command, status: ""PASS"", output });"
"C:\Dev\Nexus_MASTER\scripts\intelligence\run_intelligence_master_runner.js","21","    console.log(""[MASTER RUNNER] PASS"", command);"
"C:\Dev\Nexus_MASTER\scripts\intelligence\run_intelligence_master_runner.js","25","      status: ""FAIL"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\run_intelligence_master_runner.js","30","    console.error(""[MASTER RUNNER] FAIL"", command);"
"C:\Dev\Nexus_MASTER\scripts\intelligence\run_intelligence_master_runner.js","39","  passed: results.filter(r => r.status === ""PASS"").length,"
"C:\Dev\Nexus_MASTER\scripts\intelligence\run_intelligence_master_runner.js","40","  failed: results.filter(r => r.status === ""FAIL"").length,"
"C:\Dev\Nexus_MASTER\scripts\intelligence\run_intelligence_master_runner.js","41","  status: results.some(r => r.status === ""FAIL"") ? ""REVIEW_REQUIRED"" : ""PASS"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\run_intelligence_master_runner.js","48","console.log(""[INTELLIGENCE MASTER RUNNER]"", report.status, report.passed, report.failed);"
