"wave_id","city","parity_layer","source_name","source_url","source_type","city_specific","provenance_status","authentication_status","replay_status","saturation_status","eligible_for_lock","notes"
"20260511_220947","Chattanooga","public_works_or_infrastructure","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Clarksville","city_boundary","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Clarksville","neighborhoods_or_districts","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Clarksville","council_districts","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Clarksville","police_beats_or_reporting_districts","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Clarksville","fire_stations_or_service_areas","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Clarksville","parcels_or_zoning","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Clarksville","streets_or_transport_corridors","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Clarksville","public_facilities","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Clarksville","parks","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Clarksville","schools","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Clarksville","public_safety_incidents_or_calls","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Clarksville","permits_or_code_enforcement","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Clarksville","civic_governance","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Clarksville","public_works_or_infrastructure","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
