import_row_id,discovery_task_id,category,target_type,source_type,organization_seed,city,region,country,search_query,source_url,source_title,discovered_organization_name,contact_route,contact_route_type,contact_person_or_role,lat,lon,founder_review_notes,import_status,forbidden
"BD_SOURCE_IMPORT_ROW_000011","BD_REAL_DISCOVERY_000011","LAW_ENFORCEMENT_TRAINING","ASSOCIATION","OFFICIAL_ASSOCIATION_SOURCE","Sheriff Associations","Los Angeles","CA","USA","Sheriff Associations Los Angeles CA","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000012","BD_REAL_DISCOVERY_000012","LAW_ENFORCEMENT_TRAINING","CONFERENCE","PUBLIC_EVENT_SOURCE","Police Training Conferences","Los Angeles","CA","USA","Police Training Conferences Los Angeles CA","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000013","BD_REAL_DISCOVERY_000013","MOTORCYCLE_COMMUNITY","DEALERSHIP","PUBLIC_BUSINESS_SOURCE","Motorcycle Dealerships","Los Angeles","CA","USA","Motorcycle Dealerships Los Angeles CA","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000014","BD_REAL_DISCOVERY_000014","MOTORCYCLE_COMMUNITY","ASSOCIATION","PUBLIC_ASSOCIATION_SOURCE","Rider Associations","Los Angeles","CA","USA","Rider Associations Los Angeles CA","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000015","BD_REAL_DISCOVERY_000015","MOTORCYCLE_COMMUNITY","EVENT_ORGANIZER","PUBLIC_EVENT_SOURCE","Motorcycle Rally Organizers","Los Angeles","CA","USA","Motorcycle Rally Organizers Los Angeles CA","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000016","BD_REAL_DISCOVERY_000016","VETERAN_ECOSYSTEM","VETERAN_ORGANIZATION","PUBLIC_VETERAN_SOURCE","VFW Posts","Los Angeles","CA","USA","VFW Posts Los Angeles CA","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000017","BD_REAL_DISCOVERY_000017","VETERAN_ECOSYSTEM","VETERAN_ORGANIZATION","PUBLIC_VETERAN_SOURCE","American Legion Posts","Los Angeles","CA","USA","American Legion Posts Los Angeles CA","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000018","BD_REAL_DISCOVERY_000018","VETERAN_ECOSYSTEM","VETERAN_RIDER_GROUP","PUBLIC_ASSOCIATION_SOURCE","Combat Veteran Motorcycle Associations","Los Angeles","CA","USA","Combat Veteran Motorcycle Associations Los Angeles CA","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000019","BD_REAL_DISCOVERY_000019","LAW_ENFORCEMENT_TRAINING","TRAINING_AUTHORITY","OFFICIAL_STATE_SOURCE","State POST Academies","Chicago","IL","USA","State POST Academies Chicago IL","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000020","BD_REAL_DISCOVERY_000020","LAW_ENFORCEMENT_TRAINING","ASSOCIATION","OFFICIAL_ASSOCIATION_SOURCE","Sheriff Associations","Chicago","IL","USA","Sheriff Associations Chicago IL","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000021","BD_REAL_DISCOVERY_000021","LAW_ENFORCEMENT_TRAINING","CONFERENCE","PUBLIC_EVENT_SOURCE","Police Training Conferences","Chicago","IL","USA","Police Training Conferences Chicago IL","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000022","BD_REAL_DISCOVERY_000022","MOTORCYCLE_COMMUNITY","DEALERSHIP","PUBLIC_BUSINESS_SOURCE","Motorcycle Dealerships","Chicago","IL","USA","Motorcycle Dealerships Chicago IL","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000023","BD_REAL_DISCOVERY_000023","MOTORCYCLE_COMMUNITY","ASSOCIATION","PUBLIC_ASSOCIATION_SOURCE","Rider Associations","Chicago","IL","USA","Rider Associations Chicago IL","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000024","BD_REAL_DISCOVERY_000024","MOTORCYCLE_COMMUNITY","EVENT_ORGANIZER","PUBLIC_EVENT_SOURCE","Motorcycle Rally Organizers","Chicago","IL","USA","Motorcycle Rally Organizers Chicago IL","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000025","BD_REAL_DISCOVERY_000025","VETERAN_ECOSYSTEM","VETERAN_ORGANIZATION","PUBLIC_VETERAN_SOURCE","VFW Posts","Chicago","IL","USA","VFW Posts Chicago IL","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000026","BD_REAL_DISCOVERY_000026","VETERAN_ECOSYSTEM","VETERAN_ORGANIZATION","PUBLIC_VETERAN_SOURCE","American Legion Posts","Chicago","IL","USA","American Legion Posts Chicago IL","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000027","BD_REAL_DISCOVERY_000027","VETERAN_ECOSYSTEM","VETERAN_RIDER_GROUP","PUBLIC_ASSOCIATION_SOURCE","Combat Veteran Motorcycle Associations","Chicago","IL","USA","Combat Veteran Motorcycle Associations Chicago IL","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000028","BD_REAL_DISCOVERY_000028","LAW_ENFORCEMENT_TRAINING","TRAINING_AUTHORITY","OFFICIAL_STATE_SOURCE","State POST Academies","Houston","TX","USA","State POST Academies Houston TX","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000029","BD_REAL_DISCOVERY_000029","LAW_ENFORCEMENT_TRAINING","ASSOCIATION","OFFICIAL_ASSOCIATION_SOURCE","Sheriff Associations","Houston","TX","USA","Sheriff Associations Houston TX","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000030","BD_REAL_DISCOVERY_000030","LAW_ENFORCEMENT_TRAINING","CONFERENCE","PUBLIC_EVENT_SOURCE","Police Training Conferences","Houston","TX","USA","Police Training Conferences Houston TX","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000031","BD_REAL_DISCOVERY_000031","MOTORCYCLE_COMMUNITY","DEALERSHIP","PUBLIC_BUSINESS_SOURCE","Motorcycle Dealerships","Houston","TX","USA","Motorcycle Dealerships Houston TX","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000032","BD_REAL_DISCOVERY_000032","MOTORCYCLE_COMMUNITY","ASSOCIATION","PUBLIC_ASSOCIATION_SOURCE","Rider Associations","Houston","TX","USA","Rider Associations Houston TX","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000033","BD_REAL_DISCOVERY_000033","MOTORCYCLE_COMMUNITY","EVENT_ORGANIZER","PUBLIC_EVENT_SOURCE","Motorcycle Rally Organizers","Houston","TX","USA","Motorcycle Rally Organizers Houston TX","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000034","BD_REAL_DISCOVERY_000034","VETERAN_ECOSYSTEM","VETERAN_ORGANIZATION","PUBLIC_VETERAN_SOURCE","VFW Posts","Houston","TX","USA","VFW Posts Houston TX","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000035","BD_REAL_DISCOVERY_000035","VETERAN_ECOSYSTEM","VETERAN_ORGANIZATION","PUBLIC_VETERAN_SOURCE","American Legion Posts","Houston","TX","USA","American Legion Posts Houston TX","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000036","BD_REAL_DISCOVERY_000036","VETERAN_ECOSYSTEM","VETERAN_RIDER_GROUP","PUBLIC_ASSOCIATION_SOURCE","Combat Veteran Motorcycle Associations","Houston","TX","USA","Combat Veteran Motorcycle Associations Houston TX","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000037","BD_REAL_DISCOVERY_000037","LAW_ENFORCEMENT_TRAINING","TRAINING_AUTHORITY","OFFICIAL_STATE_SOURCE","State POST Academies","Phoenix","AZ","USA","State POST Academies Phoenix AZ","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000038","BD_REAL_DISCOVERY_000038","LAW_ENFORCEMENT_TRAINING","ASSOCIATION","OFFICIAL_ASSOCIATION_SOURCE","Sheriff Associations","Phoenix","AZ","USA","Sheriff Associations Phoenix AZ","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000039","BD_REAL_DISCOVERY_000039","LAW_ENFORCEMENT_TRAINING","CONFERENCE","PUBLIC_EVENT_SOURCE","Police Training Conferences","Phoenix","AZ","USA","Police Training Conferences Phoenix AZ","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000040","BD_REAL_DISCOVERY_000040","MOTORCYCLE_COMMUNITY","DEALERSHIP","PUBLIC_BUSINESS_SOURCE","Motorcycle Dealerships","Phoenix","AZ","USA","Motorcycle Dealerships Phoenix AZ","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000041","BD_REAL_DISCOVERY_000041","MOTORCYCLE_COMMUNITY","ASSOCIATION","PUBLIC_ASSOCIATION_SOURCE","Rider Associations","Phoenix","AZ","USA","Rider Associations Phoenix AZ","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000042","BD_REAL_DISCOVERY_000042","MOTORCYCLE_COMMUNITY","EVENT_ORGANIZER","PUBLIC_EVENT_SOURCE","Motorcycle Rally Organizers","Phoenix","AZ","USA","Motorcycle Rally Organizers Phoenix AZ","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000043","BD_REAL_DISCOVERY_000043","VETERAN_ECOSYSTEM","VETERAN_ORGANIZATION","PUBLIC_VETERAN_SOURCE","VFW Posts","Phoenix","AZ","USA","VFW Posts Phoenix AZ","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000044","BD_REAL_DISCOVERY_000044","VETERAN_ECOSYSTEM","VETERAN_ORGANIZATION","PUBLIC_VETERAN_SOURCE","American Legion Posts","Phoenix","AZ","USA","American Legion Posts Phoenix AZ","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000045","BD_REAL_DISCOVERY_000045","VETERAN_ECOSYSTEM","VETERAN_RIDER_GROUP","PUBLIC_ASSOCIATION_SOURCE","Combat Veteran Motorcycle Associations","Phoenix","AZ","USA","Combat Veteran Motorcycle Associations Phoenix AZ","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000046","BD_REAL_DISCOVERY_000046","LAW_ENFORCEMENT_TRAINING","TRAINING_AUTHORITY","OFFICIAL_STATE_SOURCE","State POST Academies","Philadelphia","PA","USA","State POST Academies Philadelphia PA","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000047","BD_REAL_DISCOVERY_000047","LAW_ENFORCEMENT_TRAINING","ASSOCIATION","OFFICIAL_ASSOCIATION_SOURCE","Sheriff Associations","Philadelphia","PA","USA","Sheriff Associations Philadelphia PA","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000048","BD_REAL_DISCOVERY_000048","LAW_ENFORCEMENT_TRAINING","CONFERENCE","PUBLIC_EVENT_SOURCE","Police Training Conferences","Philadelphia","PA","USA","Police Training Conferences Philadelphia PA","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000049","BD_REAL_DISCOVERY_000049","MOTORCYCLE_COMMUNITY","DEALERSHIP","PUBLIC_BUSINESS_SOURCE","Motorcycle Dealerships","Philadelphia","PA","USA","Motorcycle Dealerships Philadelphia PA","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000050","BD_REAL_DISCOVERY_000050","MOTORCYCLE_COMMUNITY","ASSOCIATION","PUBLIC_ASSOCIATION_SOURCE","Rider Associations","Philadelphia","PA","USA","Rider Associations Philadelphia PA","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000051","BD_REAL_DISCOVERY_000051","MOTORCYCLE_COMMUNITY","EVENT_ORGANIZER","PUBLIC_EVENT_SOURCE","Motorcycle Rally Organizers","Philadelphia","PA","USA","Motorcycle Rally Organizers Philadelphia PA","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000052","BD_REAL_DISCOVERY_000052","VETERAN_ECOSYSTEM","VETERAN_ORGANIZATION","PUBLIC_VETERAN_SOURCE","VFW Posts","Philadelphia","PA","USA","VFW Posts Philadelphia PA","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000053","BD_REAL_DISCOVERY_000053","VETERAN_ECOSYSTEM","VETERAN_ORGANIZATION","PUBLIC_VETERAN_SOURCE","American Legion Posts","Philadelphia","PA","USA","American Legion Posts Philadelphia PA","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000054","BD_REAL_DISCOVERY_000054","VETERAN_ECOSYSTEM","VETERAN_RIDER_GROUP","PUBLIC_ASSOCIATION_SOURCE","Combat Veteran Motorcycle Associations","Philadelphia","PA","USA","Combat Veteran Motorcycle Associations Philadelphia PA","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000055","BD_REAL_DISCOVERY_000055","LAW_ENFORCEMENT_TRAINING","TRAINING_AUTHORITY","OFFICIAL_STATE_SOURCE","State POST Academies","San Antonio","TX","USA","State POST Academies San Antonio TX","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000056","BD_REAL_DISCOVERY_000056","LAW_ENFORCEMENT_TRAINING","ASSOCIATION","OFFICIAL_ASSOCIATION_SOURCE","Sheriff Associations","San Antonio","TX","USA","Sheriff Associations San Antonio TX","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000057","BD_REAL_DISCOVERY_000057","LAW_ENFORCEMENT_TRAINING","CONFERENCE","PUBLIC_EVENT_SOURCE","Police Training Conferences","San Antonio","TX","USA","Police Training Conferences San Antonio TX","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000058","BD_REAL_DISCOVERY_000058","MOTORCYCLE_COMMUNITY","DEALERSHIP","PUBLIC_BUSINESS_SOURCE","Motorcycle Dealerships","San Antonio","TX","USA","Motorcycle Dealerships San Antonio TX","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000059","BD_REAL_DISCOVERY_000059","MOTORCYCLE_COMMUNITY","ASSOCIATION","PUBLIC_ASSOCIATION_SOURCE","Rider Associations","San Antonio","TX","USA","Rider Associations San Antonio TX","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000060","BD_REAL_DISCOVERY_000060","MOTORCYCLE_COMMUNITY","EVENT_ORGANIZER","PUBLIC_EVENT_SOURCE","Motorcycle Rally Organizers","San Antonio","TX","USA","Motorcycle Rally Organizers San Antonio TX","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000061","BD_REAL_DISCOVERY_000061","VETERAN_ECOSYSTEM","VETERAN_ORGANIZATION","PUBLIC_VETERAN_SOURCE","VFW Posts","San Antonio","TX","USA","VFW Posts San Antonio TX","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000062","BD_REAL_DISCOVERY_000062","VETERAN_ECOSYSTEM","VETERAN_ORGANIZATION","PUBLIC_VETERAN_SOURCE","American Legion Posts","San Antonio","TX","USA","American Legion Posts San Antonio TX","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000063","BD_REAL_DISCOVERY_000063","VETERAN_ECOSYSTEM","VETERAN_RIDER_GROUP","PUBLIC_ASSOCIATION_SOURCE","Combat Veteran Motorcycle Associations","San Antonio","TX","USA","Combat Veteran Motorcycle Associations San Antonio TX","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000064","BD_REAL_DISCOVERY_000064","LAW_ENFORCEMENT_TRAINING","TRAINING_AUTHORITY","OFFICIAL_STATE_SOURCE","State POST Academies","San Diego","CA","USA","State POST Academies San Diego CA","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000065","BD_REAL_DISCOVERY_000065","LAW_ENFORCEMENT_TRAINING","ASSOCIATION","OFFICIAL_ASSOCIATION_SOURCE","Sheriff Associations","San Diego","CA","USA","Sheriff Associations San Diego CA","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
